Sl. No.,State/UT/City,Road Accidents - Cases,Road Accidents - Injured,Road Accidents - Died,Railway Accidents - Cases,Railway Accidents - Injured,Railway Accidents - Died,Railway Crossing Accidents - Cases,Railway Crossing Accidents - Injured,Railway Crossing Accidents - Died,Total Traffic Accidents - Cases,Total Traffic Accidents - Injured,Total Traffic Accidents - Died,region_type,name_norm,latitude,longitude,latlon_locked,severity_score,fatality_rate,injury_rate,accident_intensity,risk_score,risk_category
19,odisha,11663,10269,5470,27,0,27,54,54,0,11744,10323,5497,State,odisha,20.9517,85.0985,False,21317,0.4680688010899183,0.8790020435967303,0.1775747583682483,0.5332499652976279,Moderate Risk
20,punjab,6122,3372,4688,978,74,914,0,0,0,7100,3446,5602,State,punjab,31.51997398,75.98000281,True,14650,0.7890140845070422,0.4853521126760563,0.1073313871704506,0.5615789534904281,High Risk
21,rajasthan,23620,22249,11103,942,8,943,0,0,0,24562,22257,12046,State,rajasthan,26.44999921,74.63998124,True,46349,0.4904323752137448,0.9061558505007736,0.3714549332203954,0.5913539294011836,High Risk
22,sikkim,199,371,98,0,0,0,0,0,0,199,371,98,State,sikkim,27.3333303,88.6166475,True,567,0.4924623115577889,1.864321608040201,0.002949495560631,0.8061175373030811,Very High Risk
23,tamil nadu,64105,67703,17884,2012,189,1833,0,0,0,66117,67892,19717,State,tamil nadu,12.92038576,79.15004187,True,107326,0.2982137725547136,1.0268463481404178,1.0,0.6571607907194821,High Risk
24,telangana,21619,20209,7559,616,0,625,0,0,0,22235,20209,8184,State,telangana,17.8767,79.0193,False,36577,0.3680683606926017,0.9088823926242412,0.3362576195301983,0.5239504220396128,Moderate Risk
25,tripura,575,541,241,27,0,27,2,0,2,604,541,270,State,tripura,23.83540428,91.27999914,True,1081,0.4470198675496689,0.8956953642384106,0.0090753709557878,0.4940336172375151,Moderate Risk
26,uttar pradesh,36875,21696,24109,3190,35,3166,1340,4,1340,41405,21735,28615,State,uttar pradesh,27.59998069,78.05000565,True,78965,0.6911001086825262,0.5249366018596788,0.6262157215676191,0.6282741792126906,High Risk
27,uttarakhand,1674,1613,1042,74,0,74,1,0,1,1749,1613,1117,State,uttarakhand,30.0668,79.0193,False,3847,0.6386506575185821,0.9222412807318467,0.0263942038630829,0.6012765537514616,High Risk
28,west bengal,10635,8124,5788,2221,286,1935,546,53,493,13402,8463,8216,State,west bengal,22.58039044,88.32994665,True,24895,0.6130428294284436,0.6314729144903746,0.2026530334427419,0.5364938957498825,Moderate Risk
29,andaman and nicobar,141,136,19,0,0,0,0,0,0,141,136,19,UT,andaman and nicobar islands,10.9754,92.5986,False,174,0.1347517730496454,0.9645390070921984,0.0020722097015715,0.3571520305927965,Low Risk
30,chandigarh,238,203,83,0,0,0,0,0,0,238,203,83,UT,chandigarh,30.71999697,76.78000565,True,369,0.3487394957983193,0.8529411764705882,0.0035393946727572,0.4309599797748875,Moderate Risk
